evtype,pattern
AVALANCHE,AVALANCHE
BLIZZARD,BLIZZARD
COASTAL FLOOD,COASTAL.FLOOD
DENSE FOG,DENSE.FOG
DENSE SMOKE,SMOKE
DROUGHT,DROUGHT
DUST DEVIL,DUST.DEVIL
DUST STORM,DUST.STORM
EXTREME COLD/WIND CHILL,EXTREME.COLD
FLASH FLOOD,FLASH.FLOOD
FROST/FREEZE,FROST
FROST/FREEZE,FREEZE
HEAVY RAIN,HEAVY.RAIN
HEAVY SNOW,HEAVY.SNOW
HIGH SURF,HIGH.SURF
HIGH WIND,HIGH.WIND
HURRICANE (TYPHOON),HURRICANE
HURRICANE (TYPHOON),TYPHOON
ICE STORM,ICE.STORM
LAKE-EFFECT SNOW,LAKE.EFFECT.SNOW
LIGHTNING,LIGHTNING
SLEET,SLEET,
STORM SURGE/TIDE,STORM.SURGE
STRONG WIND,STRONG.WIND
THUNDERSTORM WIND,TSTM.WIND
THUNDERSTORM WIND,THUNDERSTORM.WIND
TORNADO,TORNADO
TROPICAL DEPRESSION,TROPICAL.DEPRESSION
TROPICAL STORM,TROPICAL.STORM
VOLCANIC ASH,VOLCANIC.ASH
WATERSPOUT,WATERSPOUT
WILDFIRE,WILDFIRE
WINTER STORM,WINTER.STORM
WINTER WEATHER,WINTER.WEATHER
